Bacteroides_uniformis_ATCC_8492	Alistipes_putredinis_DSM_17216	Parabacteroides_merdae_ATCC_43184	Dorea_longicatena_DSM_13814	Bacteroides_caccae_ATCC_43185	Ruminococcus_bromii_L2_63	Bacteroides_thetaiotaomicron_VPI_5482	Eubacterium_hallii_DSM_3353	Ruminococcus_lactaris_ATCC_29176	Bifidobacterium_adolescentis_L2_32	Ruminococcus_torques_L2_14	Akkermansia_muciniphila_ATCC_BAA_835	Butyrivibrio_crossotus_DSM_2876	Dorea_formicigenerans_ATCC_27755	Faecalibacterium_prausnitzii_SL3_3	Bacteroides_cellulosilyticus_DSM_14838	Bacteroides_stercoris_ATCC_43183	Collinsella_aerofaciens_ATCC_25986	Bacteroides_eggerthii_DSM_20697	Bacteroides_vulgatus_ATCC_8482	Roseburia_intestinalis_M50_1	Bifidobacterium_longum_longum_CCUG_52486	Eubacterium_siraeum_70_3	Bacteroides_ovatus_ATCC_8483	Eubacterium_ventriosum_ATCC_27560	Parabacteroides_distasonis_ATCC_8503	Bacteroides_xylanisolvens_XB1A	Eubacterium_biforme_DSM_3989	Eubacterium_rectale_M104_1	Coprococcus_eutactus_ATCC_27759	Coprococcus_comes_ATCC_27758	Bacteroides_finegoldii_DSM_17565	Ruminococcus_obeum_A2_162	Parabacteroides_johnsonii_DSM_18315	Bacteroides_dorei_5_1_36_D4	Streptococcus_thermophilus_LMD_9	Bacteroides_pectinophilus_ATCC_43243	Clostridium_leptum_DSM_753	Bacteroides_dorei_DSM_17855	Catenibacterium_mitsuokai_DSM_15897	Bacteroides_coprophilus_DSM_18228	Bifidobacterium_bifidum_NCIMB_41171	Clostridium_bolteae_ATCC_BAA_613	Ruminococcus_gnavus_ATCC_29149	Desulfovibrio_piger_ATCC_29098	Bacteroides_fragilis_3_1_12	Bifidobacterium_pseudocatenulatum_DSM_20438	Clostridium_sp_M62_1	Escherichia_coli_O157_H7_EC4115	Bifidobacterium_catenulatum_DSM_16992	Clostridium_bartlettii_DSM_16795	Pseudoflavonifractor_capillosus_ATCC_29799	Subdoligranulum_variabile_DSM_15176	Clostridium_symbiosum_WAL_14163	Mitsuokella_multacida_DSM_20544	Clostridium_nexile_DSM_1787	Methanobrevibacter_smithii_DSM_2375	Anaerotruncus_colihominis_DSM_17241	Megamonas_hypermegale_ART12_1	Clostridium_spiroforme_DSM_1552	Bifidobacterium_animalis_lactis_AD011	Clostridium_asparagiforme_DSM_15981	Clostridium_scindens_ATCC_35704	Bifidobacterium_dentium_ATCC_27678	Enterococcus_faecalis_TX0104	Blautia_hydrogenotrophica_DSM_10507	Bifidobacterium_angulatum_DSM_20098	Streptococcus_gordonii_Challis_CH1	Eubacterium_dolichum_DSM_3991	Bifidobacterium_breve_DSM_20213	Lactobacillus_acidophilus_NCFM	Klebsiella_pneumoniae_342	Lactobacillus_johnsonii_NCC_533	Collinsella_stercoris_DSM_13279	Anaerostipes_caccae_DSM_14662	Streptococcus_sanguinis_SK36	Streptococcus_infantarius_infantarius_ATCC_BAA_102	Pediococcus_pentosaceus_ATCC_25745	Haemophilus_influenzae_NTHi_86_028NP	Collinsella_intestinalis_DSM_13280	Actinomyces_odontolyticus_ATCC_17982	Helicobacter_pullorum_MIT_98_5489	Butyrivibrio_fibrisolvens_16_4	Enterobacter_cancerogenus_ATCC_35316	Lactobacillus_sakei_sakei_23K	Lactobacillus_gasseri_ATCC_33323	Fusobacterium_nucleatum_nucleatum_ATCC_25586	Lactococcus_lactis_cremoris_MG1363	Candidatus_Sulcia_muelleri_GWSS	Clostridium_difficile_630	Lactobacillus_fermentum_IFO_3956	Clostridium_hylemonae_DSM_15053	Methanosphaera_stadtmanae_DSM_3091	Campylobacter_hominis_ATCC_BAA_381	Porphyromonas_gingivalis_ATCC_33277	Lactobacillus_casei_casei_BL23	Clostridium_phytofermentans_ISDg	Enterococcus_faecalis_TX1322	Clostridium_perfringens_ATCC_13124	Leuconostoc_mesenteroides_mesenteroides_ATCC_8293	Lactobacillus_ultunensis_DSM_16047	Citrobacter_koseri_ATCC_BAA_895	Desulfovibrio_vulgaris_Miyazaki_F	Proteus_mirabilis_HI4320	Lactobacillus_helveticus_DPC_4571	Anaerofustis_stercorihominis_DSM_17244	Finegoldia_magna_ATCC_29328	Campylobacter_concisus_13826	Pseudomonas_aeruginosa_LESB58	Bifidobacterium_gallicum_DSM_20093	Lactobacillus_paracasei_ATCC_25302	Cronobacter_sakazakii_ATCC_BAA_894	Anaerococcus_hydrogenalis_DSM_7454	Lactobacillus_hilgardii_ATCC_8290	Proteus_penneri_ATCC_35198	Staphylococcus_saprophyticus_saprophyticus_ATCC_15305
Bacteroides_uniformis_ATCC_8492	1	0.571055286	0.477454328	0.446859947	0.441164192	0.383676762	0.411105878	0.350414435	0.295924376	0.2878158	0.311126447	0.242364936	0.190218593	0.248088117	0.248557329	0.20459397	0.228181278	0.221296429	0.201316754	0.217433482	0.207230626	0.18306894	0.199539761	0.189569033	0.157187406	0.172813508	0.16618672	0.134694462	0.139585744	0.126030028	0.129739074	0.123517443	0.108455043	0.091108848	0.102849337	0.095007339	0.082550779	0.089508682	0.085518961	0.076610649	0.07698124	0.05670087	0.058019534	0.053818875	0.071168331	0.058950788	0.058812654	0.058557829	0.045008638	0.043669423	0.04560499	0.0481587	0.044083497	0.021935653	0.041954477	0.032851111	0.037007888	0.03357284	0.023501877	0.022471643	0.019326266	0.02106561	0.014543713	0.012145916	0.013149681	0.01284817	0.01017787	0.009372356	0.009127878	0.006622236	0.006034827	0.006888057	0.00567632	0.006411775	0.005466154	0.005632027	0.005031612	0.004101194	0.004680315	0.004123967	0.003894026	0.003409106	0.004219902	0.003621379	0.003270889	0.003213055	0.002600091	0.002705579	0.002852073	0.002572244	0.001890643	0.00226831	0.00211414	0.001994481	0.001825351	0.001374787	0.001610277	0.001394166	0.001526278	0.001185539	0.000884903	0.001264272	0.001247737	0.001009399	0.000804306	0.000940439	0.000793944	0.000733752	0.000647723	0.000587548	0.000469895	0.000541863	0.000547944	0.000390663	0.000426584	0.000325504
Alistipes_putredinis_DSM_17216	0.571055286	1	0.467602094	0.428581747	0.451799207	0.418408265	0.421023249	0.343943147	0.265420465	0.294783447	0.306148916	0.24902708	0.22342601	0.238124291	0.256453228	0.251886605	0.225887577	0.211291302	0.237505775	0.241712801	0.22063799	0.164602382	0.23342053	0.209998923	0.170054283	0.197277588	0.18855818	0.142814516	0.162487669	0.136024977	0.145626254	0.124759203	0.120644371	0.105851058	0.127087303	0.105092639	0.094913051	0.102501744	0.106362195	0.078746906	0.096182314	0.05425529	0.054511227	0.065475338	0.083967585	0.065387177	0.058589876	0.063626919	0.057125886	0.050102872	0.058427391	0.062944823	0.058650368	0.034794852	0.047854448	0.052584847	0.046457251	0.041799206	0.028982126	0.029565079	0.023214491	0.025443458	0.01943259	0.015795316	0.018610842	0.014846783	0.01351826	0.010077799	0.007924105	0.007565367	0.008299596	0.0092796	0.001550328	0.008624914	0.0070673	0.005409734	0.003703174	0.000580028	0.006556124	0.005550387	0.004591048	0.001772332	0.005666723	0.004862992	0.004479896	0.004314671	0.002139359	0.003279064	0.003829925	0.003454154	0.002538862	0.003046014	0.002833311	0.002678302	0.002451184	0.000804055	0.00216237	0.001907257	0.002049572	0.001592009	0.001489551	0.001697735	0.001675532	0.001487401	0.001312811	0.001262875	0.001066153	0.000994911	0.000869798	0.000788993	0.000631001	0.000727645	0.00073581	0.000524604	0.000572842	0.000349132
Parabacteroides_merdae_ATCC_43184	0.477454328	0.467602094	1	0.369177418	0.412386843	0.327703559	0.366841575	0.325932083	0.307174763	0.290926803	0.310623718	0.229555151	0.221347194	0.258254755	0.276051749	0.229863862	0.248247009	0.242814826	0.223739543	0.265031347	0.224318138	0.181876837	0.215986207	0.211691432	0.159449944	0.209716206	0.19706312	0.160006877	0.179514411	0.127260194	0.152768655	0.147169082	0.132842831	0.09606818	0.135714649	0.102636715	0.10091444	0.116339628	0.110413713	0.12571835	0.08886709	0.061718344	0.067032068	0.062311349	0.110736687	0.063787726	0.055891828	0.056938571	0.057275313	0.065337706	0.054921332	0.061012164	0.057754261	0.041049866	0.058623919	0.046209353	0.052752598	0.040511451	0.027197771	0.022031504	0.022005506	0.024941115	0.021754297	0.019198751	0.01973471	0.016984149	0.016558993	0.011959642	0.008944404	0.007695339	0.009583214	0.011289401	0.003121816	0.010594771	0.007828158	0.008576125	0.003697387	0.006778942	0.006850017	0.006002293	0.00628807	0.004237961	0.006791098	0.003220636	0.005297828	0.001710853	0.004486948	0.003967803	0.004690393	0.004245225	0.002331067	0.003732038	0.002413892	0.003296717	0.003017157	0.002272411	0.002661657	0.002345171	0.002143039	0.001959601	0.00140023	0.001561869	0.002052573	0.001639506	0.001267077	0.00155447	0.001312326	0.001174046	0.001031932	0.00097117	0.000776698	0.00080177	0.000905707	0.000542485	0.000705109	0.000486388
Dorea_longicatena_DSM_13814	0.446859947	0.428581747	0.369177418	1	0.345777195	0.454778898	0.397233646	0.468230261	0.351527427	0.361936196	0.454106867	0.265709794	0.236210758	0.401826943	0.41670249	0.245264728	0.222270757	0.362182548	0.218937033	0.314998263	0.331607364	0.278493143	0.319551137	0.28057655	0.275591201	0.269443073	0.266282956	0.239607932	0.25059388	0.195168863	0.229121057	0.16288124	0.189296132	0.158441575	0.173657701	0.151112487	0.119325698	0.118459455	0.146410056	0.148958478	0.116100812	0.080855773	0.065206232	0.072617924	0.106404119	0.09800071	0.089474606	0.093075311	0.074696071	0.066010579	0.078219686	0.083452456	0.080508163	0.054497865	0.070431125	0.056205916	0.067881952	0.058980235	0.01674498	0.043847074	0.032635063	0.030653493	0.021471017	0.009216345	0.024890784	0.019779895	0.018468149	0.016275226	0.012234613	0.013858392	0.006885853	0.010635599	0.000903294	0.005995839	0.010461419	0.010260182	0.006688344	0.007389603	0.008488129	0.007098721	0.007080019	0.009263672	0.007603494	0.006525065	0.004289179	0.00387981	0.004962971	0.004623544	0.005138915	0.004634714	0.002237005	0.00408708	0.003809294	0.003593692	0.003288949	0.002477115	0.002901425	0.002559119	0.002750074	0.002136126	0.001275509	0.00216897	0.002248194	0.001929074	0.001199732	0.0016945	0.001430543	0.001334952	0.001167078	0.001058655	0.000846664	0.000976339	0.000987294	0.000703904	0.000768627	0.000586498
Bacteroides_caccae_ATCC_43185	0.441164192	0.451799207	0.412386843	0.345777195	1	0.281018353	0.316778266	0.318806047	0.321578901	0.258693622	0.296772502	0.230158609	0.21053035	0.242501223	0.271157302	0.218318468	0.203173941	0.228444308	0.251761365	0.258410123	0.223066828	0.170741488	0.216694997	0.217814097	0.211577327	0.208601338	0.202572176	0.159395788	0.169134292	0.133380709	0.158369849	0.124503336	0.151145515	0.110948688	0.149227411	0.098493288	0.113311902	0.101956913	0.118833043	0.060149066	0.08253417	0.046665564	0.054971459	0.072686742	0.07597927	0.083199796	0.069922895	0.066319373	0.057410061	0.064800368	0.065560169	0.071284486	0.066782977	0.022013454	0.038336032	0.060551865	0.056981841	0.049332164	0.045065851	0.034793193	0.026777369	0.033945103	0.022632946	0.020702255	0.022675984	0.015236446	0.015573129	0.010831114	0.015759485	0.008742306	0.010193563	0.011965857	0.000817845	0.011505865	0.01029676	0.006432175	0.009063867	0.000650772	0.008295453	0.007422603	0.005894902	0.007529386	0.007554879	0.005951508	0.004089069	0.005537123	0.002319404	0.004699176	0.005107666	0.004624494	0.002041093	0.004078068	0.003800894	0.003585767	0.003281697	0.002471652	0.002895027	0.002551136	0.00274401	0.002131416	0.000838628	0.002272964	0.002243237	0.001904186	0.000854585	0.001690763	0.001427389	0.001332008	0.001164504	0.00105632	0.000844797	0.000974186	0.000985117	0.000620832	0.000766932	0.000546499
Ruminococcus_bromii_L2_63	0.383676762	0.418408265	0.327703559	0.454778898	0.281018353	1	0.333631139	0.302826795	0.272965157	0.307684229	0.275544745	0.197089026	0.273926136	0.259980537	0.269965733	0.231971989	0.18032723	0.25967903	0.184015067	0.216919955	0.212281148	0.201758112	0.238916273	0.189397355	0.19202305	0.196127949	0.19383705	0.17871209	0.187456653	0.145192209	0.161767521	0.108288055	0.13281806	0.112415219	0.122765164	0.105470625	0.119508059	0.110079089	0.106506653	0.12546543	0.105826162	0.076568877	0.065869722	0.074175783	0.080086967	0.069575308	0.06974004	0.087956063	0.066161538	0.065588465	0.071132887	0.07485041	0.071206565	0.029066172	0.058579146	0.067445148	0.053154641	0.052669239	0.006064357	0.032097514	0.035408473	0.030217545	0.024451251	0.02161181	0.024948785	0.016873144	0.017648641	0.015199766	0.011215037	0.010583685	0.01083538	0.012660959	0.010631921	0.011883678	0.009221484	0.010184879	0.00634918	0.007655504	0.007177499	0.007198329	0.007260372	0.009597008	0.007847204	0.00484847	0.003907164	0.002153998	0.003465539	0.004270748	0.00532383	0.004741459	0.002736929	0.004231283	0.003772785	0.002698117	0.003407296	0.00052542	0.003005827	0.002385868	0.002078794	0.001831732	0.002070567	0.001687465	0.002329091	0.001851804	0.001824888	0.001755473	0.001482018	0.00135607	0.001209073	0.001096748	0.000746357	0.000998832	0.00102282	0.000729232	0.000779574	0.000345559
Bacteroides_thetaiotaomicron_VPI_5482	0.411105878	0.421023249	0.366841575	0.397233646	0.316778266	0.333631139	1	0.381205521	0.32620223	0.300253019	0.366265568	0.207565987	0.143558776	0.313914844	0.330638036	0.271883284	0.263997465	0.269258708	0.204671526	0.316018976	0.290526248	0.249913158	0.261080695	0.313054646	0.224430661	0.257196107	0.26433902	0.171862142	0.21588378	0.154020154	0.200589645	0.192417017	0.166457925	0.185733645	0.186732318	0.135087513	0.088827848	0.161418887	0.156394681	0.079792616	0.078050841	0.088057515	0.129815785	0.127455968	0.094222403	0.097673669	0.086070038	0.103257712	0.09842528	0.064942153	0.076339084	0.08704518	0.082236126	0.085403556	0.036116857	0.058557384	0.060204573	0.06356201	0.03432971	0.043680907	0.023326044	0.037895212	0.028798833	0.023906784	0.026910579	0.02215597	0.019302242	0.01667016	0.018258491	0.013099758	0.011850714	0.008954184	0.009543189	0.012672326	0.013198026	0.01103282	0.009970361	0.008091731	0.009632716	0.008155016	0.007756117	0.000980763	0.008317076	0.007092032	0.004934503	0.006339417	0.005434531	0.005404558	0.005627193	0.005075084	0.003730273	0.004475417	0.004171236	0.003935149	0.003601451	0.001425908	0.003177105	0.002802275	0.003011375	0.002339091	0.00169167	0.002494431	0.002461808	0.001977363	0.001532768	0.001855504	0.001566467	0.001461793	0.001277969	0.001159243	0.000927111	0.001069106	0.001081103	0.000770785	0.000841659	0.000642225
Eubacterium_hallii_DSM_3353	0.350414435	0.343943147	0.325932083	0.468230261	0.318806047	0.302826795	0.381205521	1	0.30724777	0.454521273	0.53797228	0.257894488	0.182883439	0.55955008	0.499213383	0.282512928	0.253809068	0.474685818	0.229255534	0.398077653	0.404335879	0.409908251	0.358375861	0.353366943	0.310114367	0.367458454	0.33675372	0.214598373	0.325867738	0.222105746	0.324372516	0.157260888	0.264408068	0.173954556	0.254672313	0.19660867	0.104487365	0.180152116	0.208485318	0.137207838	0.081575701	0.151897773	0.11087319	0.098760813	0.155691533	0.133774837	0.124039358	0.145871021	0.100818088	0.094203316	0.120050472	0.126866925	0.114166919	0.055962382	0.070243867	0.081574525	0.084987658	0.085137077	0.019168086	0.058452791	0.037261189	0.057671473	0.037187515	0.012814632	0.03485331	0.032552183	0.025894844	0.023011376	0.021694801	0.019289676	0.0156694	0.015860996	0.014549634	0.008329795	0.013516151	0.014009184	0.012603117	0.006677646	0.012321286	0.009898325	0.009966397	0.00084713	0.010698611	0.00918119	0.009020599	0.006441635	0.006983223	0.006012838	0.007230788	0.006521343	0.004793299	0.005750788	0.005359924	0.005056558	0.004627765	0.003485461	0.004082493	0.003382871	0.003869534	0.003005668	0.002812229	0.003085175	0.003163356	0.001148925	0.00247855	0.002384271	0.002012867	0.001878364	0.001642155	0.001433513	0.001191312	0.001373772	0.001389188	0.000990438	0.001081508	0.000825241
Ruminococcus_lactaris_ATCC_29176	0.295924376	0.265420465	0.307174763	0.351527427	0.321578901	0.272965157	0.32620223	0.30724777	1	0.209442069	0.337776422	0.261693682	0.202829366	0.284301999	0.302801802	0.320658185	0.203879559	0.23526752	0.163603978	0.248848123	0.283714922	0.198227641	0.240728293	0.234954959	0.251366842	0.226009729	0.222884277	0.1858634	0.203106932	0.200857167	0.1944787	0.134569121	0.175110441	0.123755009	0.168572164	0.133982484	0.152271157	0.13856763	0.140463869	0.054674823	0.064305123	0.034991931	0.082325446	0.073458176	0.094127145	0.119006293	0.054115885	0.091073727	0.064478843	0.061463624	0.07899051	0.099057322	0.091764084	0.058706429	0.032122464	0.064294147	0.056391144	0.063122529	0.004704512	0.05308425	0.026219762	0.043595256	0.0306248	0.023185211	0.032577354	0.023202423	0.022008876	0.018902916	0.013670549	0.012291141	0.002691525	0.014417043	0.000993409	0.015669108	0.010314749	0.01329355	0.00564195	0.010005283	0.010046966	0.009320273	0.009532028	0.000499672	0.010294884	0.006273296	0.005271968	0.002607446	0.006708858	0.005254118	0.006957925	0.006275252	0.001870611	0.005533774	0.005117385	0.004865742	0.00445313	0.001249526	0.003928435	0.003424771	0.003338059	0.002547616	0.001235934	0.002501564	0.003043982	0.001584038	0.001257717	0.002294298	0.001936909	0.001807482	0.001580186	0.001433384	0.001146356	0.001321931	0.001336765	0.000953063	0.001040696	0.000781098
Bifidobacterium_adolescentis_L2_32	0.2878158	0.294783447	0.290926803	0.361936196	0.258693622	0.307684229	0.300253019	0.454521273	0.209442069	1	0.384988811	0.243495725	0.206279478	0.39792358	0.385829147	0.27296144	0.188854012	0.393048811	0.164621841	0.323061703	0.29479649	0.349080132	0.315384328	0.27654741	0.235863244	0.281267837	0.239552986	0.185426645	0.261509339	0.200017631	0.257773494	0.136659893	0.204804241	0.12106005	0.199993687	0.150356927	0.091006454	0.136229377	0.172079758	0.173237209	0.096449378	0.185403436	0.081897998	0.095853948	0.142127801	0.113303878	0.104816522	0.135108208	0.077015714	0.115775407	0.099753129	0.098522932	0.092565087	0.040511543	0.081028364	0.078005815	0.068424849	0.064879671	0.011955463	0.043754098	0.046171746	0.037840859	0.028351441	0.013734605	0.031685918	0.024355403	0.030030072	0.01859075	0.024035485	0.020883734	0.016372425	0.011556624	0.000916171	0.008963549	0.012349159	0.009469638	0.01351286	0.000646058	0.010499403	0.009563541	0.00875787	0.015007633	0.010290895	0.008762908	0.009000152	0.008734712	0.002743117	0.006973275	0.007223809	0.006640513	0.002491485	0.005706351	0.005943688	0.003537817	0.004721032	0.004012418	0.004184344	0.003529302	0.004421293	0.00327618	0.001501361	0.003291452	0.003280454	0.001198185	0.001395628	0.002569248	0.002193196	0.001824399	0.001584829	0.001715076	0.001344399	0.001513803	0.00151234	0.001015189	0.001169773	0.000950158
