KO ID	Name	Definition	Gene Count
K00001	E1.1.1.1, adh	alcohol dehydrogenase [EC:1.1.1.1]	1
K00003	E1.1.1.3	homoserine dehydrogenase [EC:1.1.1.3]	1
K00005	E1.1.1.6, gldA	glycerol dehydrogenase [EC:1.1.1.6]	1
K00013	hisD	histidinol dehydrogenase [EC:1.1.1.23]	1
K00014	aroE	shikimate dehydrogenase [EC:1.1.1.25]	1
K00016	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]	2
K00027	E1.1.1.38, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	1
K00031	IDH1, IDH2, icd	isocitrate dehydrogenase [EC:1.1.1.42]	1
K00033	E1.1.1.44, PGD, gnd	6-phosphogluconate dehydrogenase [EC:1.1.1.44]	1
K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49]	1
K00052	leuB	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	1
K00053	ilvC	ketol-acid reductoisomerase [EC:1.1.1.86]	1
K00054	mvaA	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	1
K00057	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	1
K00059	fabG	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	2
K00067	rfbD	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	1
K00075	murB	UDP-N-acetylmuramate dehydrogenase [EC:1.1.1.158]	1
K00077	panE, apbA	2-dehydropantoate 2-reductase [EC:1.1.1.169]	1
K00088	E1.1.1.205, guaB	IMP dehydrogenase [EC:1.1.1.205]	1
K00105	E1.1.3.21	alpha-glycerophosphate oxidase [EC:1.1.3.21]	1
K00133	asd	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	1
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	1
K00145	argC	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	1
K00147	proA	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	1
K00158	E1.2.3.3, poxL	pyruvate oxidase [EC:1.2.3.3]	1
K00161	PDHA, pdhA	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	1
K00162	PDHB, pdhB	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	1
K00215	dapB	dihydrodipicolinate reductase [EC:1.3.1.26]	2
K00226	pyrD	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	2
K00243	K00243	hypothetical protein	1
K00259	ald	alanine dehydrogenase [EC:1.4.1.1]	1
K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	1
K00286	E1.5.1.2, proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	1
K00287	folA	dihydrofolate reductase [EC:1.5.1.3]	2
K00297	E1.5.1.20, metF	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	1
K00355	NQO1	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	1
K00356	E1.6.99.3	NADH dehydrogenase [EC:1.6.99.3]	1
K00364	E1.7.1.7, guaC	GMP reductase [EC:1.7.1.7]	1
K00382	DLD, lpd, pdhD	dihydrolipoamide dehydrogenase [EC:1.8.1.4]	1
K00383	E1.8.1.7, GSR, gor	glutathione reductase (NADPH) [EC:1.8.1.7]	1
K00384	E1.8.1.9, trxB	thioredoxin reductase (NADPH) [EC:1.8.1.9]	2
K00432	E1.11.1.9	glutathione peroxidase [EC:1.11.1.9]	1
K00520	merA	mercuric reductase [EC:1.16.1.1]	1
K00525	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	1
K00526	E1.17.4.1B, nrdB, nrdF	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	1
K00527	nrdD	ribonucleoside-triphosphate reductase [EC:1.17.4.2]	2
K00537	ARSC1, arsC	arsenate reductase [EC:1.20.4.1]	2
K00540	E1.-.-.-		2
K00549	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	1
K00554	trmD	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	1
K00558	E2.1.1.37, DNMT, dcm	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37]	1
K00560	E2.1.1.45, thyA	thymidylate synthase [EC:2.1.1.45]	1
K00563	rlmA1	23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]	1
K00564	rsmC	16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	1
K00566	mnmA, trmU, TRMU	tRNA-specific 2-thiouridylase [EC:2.8.1.-]	1
K00567	E2.1.1.63, MGMT, ogt	methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	1
K00571	E2.1.1.72	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	1
K00590	E2.1.1.113	site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	1
K00599	E2.1.1.-		3
K00600	glyA, SHMT	glycine hydroxymethyltransferase [EC:2.1.2.1]	1
K00602	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	1
K00603	E2.1.2.5	glutamate formiminotransferase [EC:2.1.2.5]	1
K00604	MTFMT, fmt	methionyl-tRNA formyltransferase [EC:2.1.2.9]	1
K00609	pyrB, PYR2	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	1
K00611	OTC, argF, argI	ornithine carbamoyltransferase [EC:2.1.3.3]	1
K00620	argJ	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	1
K00625	E2.3.1.8, pta	phosphate acetyltransferase [EC:2.3.1.8]	1
K00627	DLAT, aceF, pdhC	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	1
K00640	cysE	serine O-acetyltransferase [EC:2.3.1.30]	1
K00645	fabD	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	1
K00648	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	1
K00651	metA	homoserine O-succinyltransferase [EC:2.3.1.46]	1
K00655	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	1
K00656	E2.3.1.54, pflD	formate C-acetyltransferase [EC:2.3.1.54]	2
K00661	E2.3.1.79, maa	maltose O-acetyltransferase [EC:2.3.1.79]	1
K00674	dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [EC:2.3.1.117]	1
K00676	E2.3.1.128	ribosomal-protein-alanine N-acetyltransferase [EC:2.3.1.128]	1
K00687	pbp2B, penA	penicillin-binding protein 2B [EC:2.3.2.-]	1
K00688	E2.4.1.1, glgP, PYG	starch phosphorylase [EC:2.4.1.1]	2
K00689	E2.4.1.5	dextransucrase [EC:2.4.1.5]	1
K00700	glgB	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	1
K00703	E2.4.1.21, glgA	starch synthase [EC:2.4.1.21]	1
K00705	malQ	4-alpha-glucanotransferase [EC:2.4.1.25]	1
K00712	tagE	poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]	1
K00756	E2.4.2.2, pdp	pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	1
K00759	E2.4.2.7, apt	adenine phosphoribosyltransferase [EC:2.4.2.7]	1
K00760	hprT, hpt, HPRT1	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	1
K00761	upp, UPRT	uracil phosphoribosyltransferase [EC:2.4.2.9]	1
K00762	pyrE	orotate phosphoribosyltransferase [EC:2.4.2.10]	1
K00763	pncB, NAPRT1	nicotinate phosphoribosyltransferase [EC:2.4.2.11]	1
K00764	purF, PPAT	amidophosphoribosyltransferase [EC:2.4.2.14]	1
K00765	hisG	ATP phosphoribosyltransferase [EC:2.4.2.17]	1
K00766	trpD	anthranilate phosphoribosyltransferase [EC:2.4.2.18]	1
K00773	tgt, QTRT1	queuine tRNA-ribosyltransferase [EC:2.4.2.29]	1
K00783	rlmH	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	1
K00784	rnz	ribonuclease Z [EC:3.1.26.11]	1
K00786	E2.4.-.-		1
K00789	metK	S-adenosylmethionine synthetase [EC:2.5.1.6]	1
K00790	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	2
K00791	miaA, TRIT1	tRNA dimethylallyltransferase [EC:2.5.1.75]	1
K00796	folP	dihydropteroate synthase [EC:2.5.1.15]	1
K00800	aroA	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	1
K00806	uppS	undecaprenyl diphosphate synthase [EC:2.5.1.31]	1
K00817	hisC	histidinol-phosphate aminotransferase [EC:2.6.1.9]	1
K00818	E2.6.1.11, argD	acetylornithine aminotransferase [EC:2.6.1.11]	1
K00820	E2.6.1.16, glmS	glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	1
K00826	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase [EC:2.6.1.42]	1
K00841	patA	aminotransferase [EC:2.6.1.-]	1
K00845	glk	glucokinase [EC:2.7.1.2]	1
K00847	E2.7.1.4, scrK	fructokinase [EC:2.7.1.4]	1
K00849	galK	galactokinase [EC:2.7.1.6]	1
K00850	pfkA, PFK	6-phosphofructokinase 1 [EC:2.7.1.11]	1
K00857	E2.7.1.21, tdk	thymidine kinase [EC:2.7.1.21]	1
K00858	ppnK, NADK	NAD+ kinase [EC:2.7.1.23]	1
